folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0160108611,1,01,1,5,1,1,2, , , , , , , , ,1,0, , , , , , , , , , , ,3000,40,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,2400,2100,0,3840,590.16,516.39,0,944.26,162.29,0
0160108819,1,01,2,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , ,1800, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,1200,0,3410,0,295.08,0,838.52,0,542.95
0160108821,1,01,1,4,1, ,2, , , , , , , , ,1,3,3,0,3,3,0,0, , ,0, , ,128000, ,2, , , , , , , , ,10300,09, , ,2, , , , , , , , , ,2,4,0,0,0,175260,0,0,0,43096.72,0,43096.72
0160108821,1,01,1,5,1,1,2, , , , , , , , ,1,2,1,1,1,1,0,0, , ,1,0,1,210000,28000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,413478,2008,0,125600,101674.91,493.77,0,30885.24,71282.95,0
0160108901,1,02,1,5,1,1,2, , , , , , , , ,6,2,2,0,0, , ,2,2,0,0, , ,2700,1260,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,3,18000,8130,0,18800,4402.17,1988.31,0,4597.82,1790.21,0
0160108902,1,01,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,500000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,87000,0,0,0,21277.17,0,21277.17
0160108902,1,01,1,5,1,1,2, , , , , , , , ,1,2,2,0,2,2,0,0, , ,0, , ,540000,690000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,2068100,17119,0,1980000,505785.32,4186.71,0,484239.13,25732.17,0
0160108903,1,02,1,4,1, ,2, , , , , , , , ,6,1,1,0,0, , ,1,1,0,0, , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,8000,0,0,0,1956.52,0,1954.56
0160108903,1,02,1,5,1,1,2, , , , , , , , ,1,1,1,0,0, , ,1,1,0,0, , ,144000,20000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,182220,2484,0,154000,44564.67,607.49,0,37663.04,7507.17,0
0160108905,1,01,2,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , ,8000,08, , ,2, , , , , , , , , ,2,4,0,0,0,37200,0,0,0,9097.82,0,9097.82
0160108905,1,01,2,5,1,1,2, , , , , , , , ,1,5,2,3,0, , ,5,2,3,0, , ,228000,8000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,219300,5110,0,193700,53633.15,1249.72,0,47372.28,7510.1,0
0160122308,1,01,2,4,1, ,2, , , , , , , , ,3,3,1,2,0, , ,3,1,2,0, , , ,16450,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,3000,4210,0,4100,733.69,1029.61,0,1002.71,760.1,0
0160122901,1,01,1,4,1, ,2, , , , , , , , ,6,1,1,0,0, , ,1,1,0,0, , ,110, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,9000,0,3000,0,2201.08,0,733.69,1467.39,0
0160122901,1,01,1,5,1,2,2, , , , , , , , ,6,1,1,0,0, , ,1,1,0,0, , ,2000,7380,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,30000,120,0,17600,7336.95,29.34,0,4304.34,3060.97,0
0160125411,1,01,1,4,2,1,2, , , , , , , , ,2,4,4,0,0, , ,0, , ,4,4,0, ,4000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,3775,0,0,0,923.23,0,921.52
0160125412,1,01,1,4,2,1,2, , , , , , , , ,2,0, , , , , , , , , , , , ,39500,2, , , , , , , , ,8000,08, , ,2, , , , , , , , , ,2,4,0,0,0,39500,0,0,0,9660.32,0,9658.36
0160125802,1,01,2,4,1, ,2, , , , , , , , ,6,3,3,0,0, , ,3,3,0,0, , , , ,2, , , , , , , , ,7000,08, , ,2, , , , , , , , , ,2,4,0,0,0,500,0,0,0,122.95,0,120.98
0160125802,1,07,2,5,1,2,2, , , , , , , , ,7,0, , , , , , , , , , , , ,6000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,9200,0,0,0,2262.29,0,2260.32
